commit	overall_score	correctness	helpfulness	tool_usage	status	description
a5c97f3	0.700000	0.300000	1.000000	0.800000	keep	baseline
58e8376	0.733333	0.400000	1.000000	0.800000	keep	improved system prompt with explicit tool instructions
10d11e8	0.683333	0.300000	1.000000	0.750000	discard	added response format instructions (regression)
7a23687	0.383333	0.100000	0.800000	0.250000	discard	switched to Qwen2.5-3B (major regression)
73cf255	0.700000	0.350000	1.000000	0.750000	discard	temperature=0.1 (slight regression)
e556f2a	0.716667	0.400000	1.000000	0.750000	discard	detailed tool descriptions (tool usage dropped)
e4557e8	0.733333	0.400000	1.000000	0.800000	keep	added few-shot examples (tied best)
443c2ca	0.733333	0.400000	1.000000	0.800000	keep	increased max_tokens to 1024 (tied best)
85e7011	0.000000	0.000000	0.000000	0.000000	crash	8B model too slow (timeout)
1f5aac6	0.183333	0.150000	0.200000	0.200000	discard	Phi-4-mini model performed poorly
f0c0459	0.750000	0.450000	1.000000	0.800000	keep	added verification step (NEW BEST)
76698e8	0.750000	0.450000	1.000000	0.800000	keep	strengthened verification instruction (tied best)
5cf2fe1	0.783333	0.450000	1.000000	0.900000	keep	added more few-shot examples (NEW BEST)
8eb1bed	0.783333	0.450000	1.000000	0.900000	keep	temperature=0.05 (tied best)
7b83813	0.716667	0.350000	1.000000	0.800000	discard	no-explanation instruction (regression)
b5fdf43	0.783333	0.450000	1.000000	0.900000	keep	temperature=0.02 (tied best)
92db3c6	0.733333	0.400000	1.000000	0.800000	discard	stronger NEVER guess instruction (regression)
95e3edb	0.800000	0.500000	1.000000	0.900000	keep	increased max_iterations to 7 (NEW BEST)
b02fe65	0.800000	0.500000	1.000000	0.900000	keep	max_iterations=10 (tied best)
87bce91	0.800000	0.500000	1.000000	0.900000	keep	max_tokens=512 (tied best)
09df133	0.633333	0.150000	1.000000	0.750000	discard	1B model (major regression)
f8e15d5	0.783333	0.500000	1.000000	0.850000	discard	knowledge question instruction (regression)
46a4f1f	0.700000	0.300000	1.000000	0.800000	discard	simplified prompt (major regression)
f1fb5f9	0.783333	0.450000	1.000000	0.900000	discard	top_p=0.95 (regression)
de5ffe1	0.816667	0.550000	1.000000	0.900000	keep	repetition_penalty=1.1 (NEW BEST)
3cb3547	0.766667	0.550000	1.000000	0.750000	discard	repetition_penalty=1.2 (regression)
f23b878	0.833333	0.600000	1.000000	0.900000	keep	min_p=0.05 (NEW BEST)
35fb239	0.816667	0.550000	1.000000	0.900000	discard	min_p=0.1 (regression)
db8fffa	0.833333	0.600000	1.000000	0.900000	keep	temperature=0.01 (tied best)
4d7f16f	0.783333	0.550000	1.000000	0.800000	discard	tool format instruction (regression)
35c89bb	0.833333	0.600000	1.000000	0.900000	keep	max_iterations=7 (tied best, simpler)
